
 NPM(K)    PM(M)      WS(M)     CPU(s) Id
 ------    -----      -----     ------ --
     68   506,54     164,47   1.289,11 …4
     77   110,61     153,83   1.072,22 …6
     81    27,21      16,94     637,92 …0
     62    32,54      10,77     368,86 …4
     42   644,09     703,27     366,31 …4
     33    27,66      37,52     193,42 …6
    117   281,53     233,34     170,55 …0
     11     2,18       1,79     155,28 …8
     24    29,39      17,68      77,52 …4
     53   301,19     338,24      77,08 …0
     90   494,72     449,09      70,08 …0
    103 1.120,00   1.123,55      67,84 …4
     19     9,54       7,66      59,34 …6
     31    17,95      14,42      55,17 …8
    138   190,76      19,50      52,31 …2
     23   229,86     271,60      48,94 …2
     37    96,08      10,58      45,42 …8
     24     8,01      20,10      43,80 …6
    123   362,81     220,62      41,33 …6
    600 1.252,98   1.214,35      39,94 …2

